"programa_orcamentario"
"Múltiplo"
"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DEC"
"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUI"
"EDUCACAO BASICA"
"EDUCACAO PROFISSIONAL E TECNOLOGICA"
"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO"
"EDUCACAO DE QUALIDADE PARA TODOS"
"QUALIDADE NA ESCOLA"
