"Mês/Ano";"Ação Orçamentária";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"01/2016";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"EXTREMOZ";"R$ 29.871,16";
"01/2016";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"SÃO BENTO DO TRAIRÍ";"R$ 6.250,00";
"03/2016";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"RAFAEL GODEIRO";"R$ 7.872,00";
"01/2016";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"MACAÍBA";"R$ 40.900,00";
"03/2016";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"IPANGUAÇU";"R$ 15.028,83";
"03/2016";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SANTA CRUZ";"R$ 47.230,00";
"03/2016";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO FERNANDO";"R$ 1.928,18";
"03/2016";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"PILÕES";"R$ 2.167,59";
"02/2016";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"NÍSIA FLORESTA";"R$ 139.599,98";
"03/2016";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"CURRAIS NOVOS";"R$ 11.074,72";
