"Mês/Ano";"Ação Orçamentária";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"PARAZINHO";"R$ 12.699,60";
"03/2017";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"RN";"NATAL";"R$ 24.481,12";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"NOVA CRUZ";"R$ 44.604,00";
"03/2017";"12KV - IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SENADOR ELÓI DE SOUZA";"R$ 56.054,29";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"PEDRO AVELINO";"R$ 12.204,00";
"03/2017";"12KU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SANTA CRUZ";"R$ 180.210,24";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SERRA NEGRA DO NORTE";"R$ 10.292,60";
"03/2017";"20RJ - APOIO A CAPACITACAO E FORMACAO INICIAL E CONTINUADA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"MOSSORÓ";"R$ 6.000,00";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"SÃO PAULO DO POTENGI";"R$ 43.254,00";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"CORONEL JOÃO PESSOA";"R$ 5.670,09";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SERRA DO MEL";"R$ 12.397,55";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"RUY BARBOSA";"R$ 6.894,00";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"TENENTE ANANIAS";"R$ 12.708,00";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"CEARÁ-MIRIM";"R$ 56.532,46";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"ITAÚ";"R$ 1.200,00";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"MACAÍBA";"R$ 15.160,00";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"NÍSIA FLORESTA";"R$ 48.576,00";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"PEDRO AVELINO";"R$ 5.511,03";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO BENTO DO NORTE";"R$ 7.941,00";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"NATAL";"R$ 504.613,60";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO MIGUEL";"R$ 36.577,20";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"GOIANINHA";"R$ 20.240,26";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"JAÇANÃ";"R$ 10.768,20";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"GOIANINHA";"R$ 62.393,60";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"ALEXANDRIA";"R$ 1.980,00";
"03/2017";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO JOSÉ DE MIPIBU";"R$ 20.255,91";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"LUCRÉCIA";"R$ 3.250,00";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"MACAÍBA";"R$ 31.338,00";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"PARANÁ";"R$ 8.068,00";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"PRESIDENTE JUSCELINO";"R$ 23.428,80";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO MIGUEL DO GOSTOSO";"R$ 11.541,70";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"AÇU";"R$ 2.640,00";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"AFONSO BEZERRA";"R$ 16.242,40";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"MONTE DAS GAMELEIRAS";"R$ 2.872,12";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"JANDAÍRA";"R$ 9.745,00";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"AÇU";"R$ 53.974,80";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"CEARÁ-MIRIM";"R$ 45.900,00";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"PILÕES";"R$ 1.771,08";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"TAIPU";"R$ 19.576,00";
"03/2017";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"TANGARÁ";"R$ 13.402,05";
"02/2017";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUI";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"RN";"MOSSORÓ";"R$ 546.197,78";
"03/2017";"00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"RN";"ÁGUA NOVA";"R$ 5.767,20";
"01/2017";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"MAJOR SALES";"R$ 2.330,00";
"03/2017";"20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"RN";"MOSSORÓ";"R$ 24.211,67";
